	ncbi_taxon_id	taxon_rank_level	scientific_name	numRunsWhereFound Disease	meanRelAdun Disease	medianRelAdun Disease	SDRelAdun Disease	numRunsWhereFound Health	meanRelAdun Health	medianRelAdun Health	SDRelAdun Health	result	tStat	pValue	pStat
2	239759	genus	Alistipes	124	1.971937397096774	0.9666275	2.6742792711486163	977	2.5763352471545544	1.61334	3.0091538334818777	PASS	-2.8633284749065875		0.004539998092649827
4	375288	genus	Parabacteroides	124	2.4224034570967743	1.34384	3.18699862815082	975	1.878051226133333	1.24134	2.110407773818265	PASS	2.275443014023677		0.023889842563634592
6	39948	genus	Dialister	103	0.8608732999029126	0.0984979	1.8171278673710247	863	1.2347819797798378	0.15854	3.222211219490564	PASS	-2.3632416003671635		0.018631084941791595
8	459786	genus	Oscillibacter	125	0.9739144464	0.541781	1.344636956038434	965	1.2641996828911917	0.686732	1.59788564346483	PASS	-2.7123371493743496		0.007120102516481604
14	283168	genus	Odoribacter	98	0.1802227797959183	0.1190809999999999	0.241303306684909	856	0.2435792381612149	0.1494165	0.3171560465265569	PASS	-3.241237640156023		0.00133259758110112
15	189330	genus	Dorea	117	0.1532234674188034	0.0954689	0.2006975730535365	922	0.1188836481887201	0.07331335	0.1624675270403819	PASS	2.2485067906643836		0.025528697722758825
17	33042	genus	Coprococcus	119	0.4016837790756303	0.144447	0.692972532183375	948	0.6103302893248945	0.2276535	1.08615243951091	PASS	-3.576660557430704		0.0004005672549274977
25	1505663	genus	Erysipelatoclostridium	123	0.6483368275609757	0.299914	1.2171141227437683	968	0.4444677575309917	0.2290444999999999	0.8472278538546009	PASS	2.2249224150455595		0.027139350847569094
26	44748	genus	Sporobacter	115	0.2799794215652173	0.105168	0.3858013925798716	915	0.3839597531803278	0.153003	0.6057979491690695	PASS	-3.2001690423300078		0.0015079012422997283
27	990721	genus	Christensenella	86	0.1087456541627907	0.02046035	0.2978148774260394	758	0.1816935341741425	0.0417958	0.4398319929467377	PASS	-2.9512779378710294		0.003406040382764001
28	1485	genus	Clostridium	124	0.2225628070967742	0.08483365	0.3840940810910123	976	0.3487874683913934	0.126053	0.7253721885689655	PASS	-3.7008859122765574		0.0002450631771971508
30	1263	genus	Ruminococcus	124	0.7592256530645162	0.3270865	1.1463171291974923	974	1.227472280359343	0.495959	2.120995292902795	PASS	-4.63043283452812		4.981886594397381e-06
32	61170	genus	Holdemania	100	0.0469747824	0.0293117	0.0590264517602638	808	0.0351111591089108	0.0204959	0.0502522085941152	PASS	2.6299194539750292		0.009129561011985312
34	84108	genus	Slackia	48	0.0451125305416666	0.0191033499999999	0.0724005594388961	390	0.0334559255	0.01474835	0.0599398095908602	PASS	2.111826233710324		0.035814173228259985
39	397864	genus	Barnesiella	100	0.7825242263	0.1147907	1.4101537344993786	884	1.0922581429694571	0.253144	2.92442329166994	PASS	-2.394642727294417		0.017047052268529348
41	904	genus	Acidaminococcus	105	0.3968461362857142	0.131331	0.7552356361119582	764	0.5934134315366492	0.196326	1.0433398224941588	PASS	-3.1816020462183525		0.0016216816314885611
43	172900	genus	Victivallis	27	0.0508496335555555	0.0246196	0.0941544585161062	373	0.0952301720294906	0.0324369	0.2445862592050931	PASS	-4.673129437679652		3.6468518222093663e-06
46	117563	genus	Granulicatella	39	0.0467722956410256	0.0111857	0.0915842482339647	331	0.1413340338247734	0.0124995	0.389618289079746	PASS	-7.6243189532439		4.884257742698681e-14
50	1573535	genus	Holdemanella	42	0.8794005742857143	0.216316	1.7449503385681735	448	0.4592028560044643	0.1295475	0.989921262405146	PASS	3.232193046654836		0.0014329001792867959
53	2740	genus	Peptococcus	29	0.1233388312413793	0.0221178	0.2577170869805437	263	0.0362816752471482	0.0165481	0.0931694902485595	PASS	4.591295504242841		7.913850863732941e-06
61	544	genus	Citrobacter	21	0.064872359047619	0.0425599	0.0847527456401454	140	0.0325336803857142	0.01046975	0.0533718835699362	PASS	5.096851876523772		7.755358313049484e-07
62	52225	genus	Mitsuokella	23	0.0980965367826087	0.0115325	0.1328479118131664	168	0.2215217141666666	0.01202735	1.1331389263938405	PASS	-3.8691104798167433		0.00011371550270856521
65	1291539	genus	Candidatus Methanomethylophilus	6	0.0701303166666666	0.01666505	0.1323520134515439	29	0.220710184137931	0.111617	0.2905523188459054	PASS	-12.137614498890837		8.997458634032625e-30
66	1080709	genus	Methanomassiliicoccus	2	0.025266	0.025266	0.0147641067484626	20	0.033766124	0.01896945	0.0404444395325827	PASS	-5.5611479147208325		3.88106779482943e-08
67	85413	genus	Bosea	4	0.08447268	0.0880703	0.0850201538478275	21	0.0514067795238095	0.0128474	0.0954121393077496	PASS	4.929264277445386		1.4874507858750202e-06
68	204037	genus	Dickeya	7	0.0285640585714285	0.0244591	0.0154559027690614	87	0.0523638967816092	0.0179147	0.2863798639347931	PASS	-3.0655763264987193		0.002212790911433818
69	574697	genus	Butyricimonas	9	0.1653868388888889	0.118775	0.181029779197201	107	0.1981318223364486	0.138192	0.2500200951285704	PASS	-2.2112411751842567		0.027790287992746014
71	456492	genus	Saccharibacillus	2	0.01612996	0.01612996	0.0182738171147464	17	0.0830115735294117	0.0126863	0.1608510524131896	PASS	-14.811487313781917		1.5253547127625863e-46
72	270	genus	Thermus	5	0.05199684	0.0593366	0.0362276248401409	36	0.0230329838888888	0.01451405	0.0222530567629491	PASS	10.69270222696054		1.6083263829603772e-21
